enter 10:01 Replica AK-03-92 60
enter 10:05 Starhawk NW-06-92 120
enter 10:40 Talon BB-12-92 60
enter 10:30 Yellowjacket DN-12-92 240
enter 13:00 Charie-27 AM-02-93 360
enter 13:15 Martinex TU-05-93 300
enter 14:30 Hollywood RM-05-14 720
enter 15:00 Nikki FZ-02-14 360
enter 15:30 Aleta LG-05-10 180
enter 16:00 Firelord AL-04-11 48
enter 16:30 Warlock MR-08-12 6
enter 16:45 Yondu EM-11-14 420
exit AL-04-11 16:45
exit MR-08-12 17:09
enter 17:10 Thanos LY-06-05 30
enter 17:15 Ronan KC-01-01 77
enter 17:20 Nebula CE-03-10 240
exit BB-12-92 17:23
enter 18:30 Korvac MS-11-96 60
enter 18:40 Dormammu GN-08-87 120
exit LY-06-05 18:45
exit KC-01-01 21:00
